AORB,CRIME CATEGORY,OFFENSE,CLASSIFICATION,NIBRS_OFFENSE_CODE
A OR B,ALL OTHER OFFENSES,ACCESSORY AFTER THE FACT,OTHER,90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON CIRCUMSTANCES) OR 49A
A OR B,ALL OTHER OFFENSES,ACCESSORY BEFORE THE FACT,OTHER,90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON CIRCUMSTANCES) OR 49A
B,ALL OTHER OFFENSES,ACCOSTING,OTHER,90Z
A OR B,ALL OTHER OFFENSES,ADULTERATED FOOD DRUGS OR COSMETICS,OTHER,90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON CIRCUMSTANCES)
A OR B,ALL OTHER OFFENSES,ADULTERY,OTHER,90Z
A OR B,ALL OTHER OFFENSES,AIDING AND ABETTING,OTHER,64A 64B 90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON OFFENSE (DEPENDS ON CIRCUMSTANCES) OR 49A
B,ALL OTHER OFFENSES,AIDING PRISONER TO ESCAPE,OTHER,90Z
A,ALL OTHER OFFENSES,AIR PIRACY/HIJACKING,PROPERTY,DEPENDS ON CIRCUMSTANCES
B,ALL OTHER OFFENSES,ANTITRUST LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,ASSEMBLY UNLAWFUL,OTHER,90Z
B,ALL OTHER OFFENSES,BIGAMY,OTHER,90Z
B,ALL OTHER OFFENSES,BLUE LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,BOATING LAW VIOLATIONS,OTHER,90Z
A,ALL OTHER OFFENSES,BOMBING OFFENSES,SOCIETY,DEPENDS ON CIRCUMSTANCES
B,ALL OTHER OFFENSES,BURGLARY TOOLS POSSESSING,OTHER,90Z
B,ALL OTHER OFFENSES,CANVASSING ILLEGAL,OTHER,90Z
A,ALL OTHER OFFENSES,CARGO THEFT,PROPERTY,DEPENDS ON CIRCUMSTANCES
B,ALL OTHER OFFENSES,COMBINATIONS IN RESTRAINT OF TRADE,OTHER,90Z
B,ALL OTHER OFFENSES,COMPOUNDING A FELONY OR MISDEMEANOR,OTHER,90Z
B,ALL OTHER OFFENSES,CONFLICT OF INTEREST,OTHER,90Z
B,ALL OTHER OFFENSES,CONSENSUAL SODOMY,OTHER,90Z OR 36B
A OR B,ALL OTHER OFFENSES,CONSPIRACY TO COMMIT,OTHER,90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON CIRCUMSTANCES)
B,ALL OTHER OFFENSES,CONTEMPT OF COURT,OTHER,90Z
B,ALL OTHER OFFENSES,CRIMINAL DEFAMATION,OTHER,90Z
B,ALL OTHER OFFENSES,CRIMINAL LIBEL,OTHER,90Z
B,ALL OTHER OFFENSES,CRIMINAL SLANDER,OTHER,90Z
B,ALL OTHER OFFENSES,DESTROYING EVIDENCE,OTHER,90Z
B,ALL OTHER OFFENSES,DRUNK,OTHER,90E
B,ALL OTHER OFFENSES,DRUNK AND DISORDERLY,OTHER,90E
B,ALL OTHER OFFENSES,EAVESDROPPING,OTHER,90Z
B,ALL OTHER OFFENSES,ECOLOGY LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,ELECTION LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,ENVIRONMENT LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,FALSE ARREST,OTHER,90Z
B,ALL OTHER OFFENSES,FALSE FIRE ALARM,OTHER,90Z
B,ALL OTHER OFFENSES,FISH AND GAME LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,FLIGHT TO AVOID CONFINEMENT CUSTODY GIVING TESTIMONY OR PROSECUTION,OTHER,90Z
A OR B,ALL OTHER OFFENSES,FORNICATION (CONSENSUAL),OTHER,36B OR 90Z
B,ALL OTHER OFFENSES,HARASSMENT,OTHER,90Z
B,ALL OTHER OFFENSES,INTOXICATED,OTHER,90E
B,ALL OTHER OFFENSES,INVASION OF PRIVACY,OTHER,90Z
B,ALL OTHER OFFENSES,LITTERING,OTHER,90Z
B,ALL OTHER OFFENSES,"MILITARY LAW VIOLATIONS
(AWOL DESERTION ETC.)",OTHER,90Z
B,ALL OTHER OFFENSES,MONOPOLY IN RESTRAINT OF TRADE,OTHER,90Z
B,ALL OTHER OFFENSES,OBSCENE COMMUNICATION,OTHER,90Z
B,ALL OTHER OFFENSES,OBSCENE TELEPHONE CALL,OTHER,90Z
B,ALL OTHER OFFENSES,OBSTRUCTING CRIMINAL INVESTIGATION,OTHER,90Z
B,ALL OTHER OFFENSES,PAROLE VIOLATION,OTHER,90Z
B,ALL OTHER OFFENSES,POLYGAMY,OTHER,90Z
B,ALL OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,OTHER,90Z
B,ALL OTHER OFFENSES,PROBATION VIOLATION,OTHER,90Z
B,ALL OTHER OFFENSES,PROWLER,OTHER,90Z
B,ALL OTHER OFFENSES,RECKLESS ENDANGERMENT,OTHER,90Z
B,ALL OTHER OFFENSES,RECKLESS OPERATION OF AIRCRAFT,OTHER,90Z
B,ALL OTHER OFFENSES,RELEASE VIOLATION MANDATORY CONDITIONAL,OTHER,90Z
B,ALL OTHER OFFENSES,REVENUE LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,SANITATION LAW VIOLATIONS,OTHER,90Z
B,ALL OTHER OFFENSES,SCALPING TICKET(S),OTHER,90Z
B,ALL OTHER OFFENSES,SEDITION,OTHER,90Z
A OR B,ALL OTHER OFFENSES,SOLICITATION TO COMMIT FELONY OFFENSE,OTHER,"64A 64B 90Z OR
OTHER (GROUP B)
OFFENSE (DEPENDS ON
CIRCUMSTANCES)"
A,ALL OTHER OFFENSES,TERRORISM,PROPERTY,"DEPENDS ON
CIRCUMSTANCES"
A OR B,ALL OTHER OFFENSES,THREAT TO COMMIT,OTHER,90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON CIRCUMSTANCES)
A OR B,ALL OTHER OFFENSES,TRAFFIC VIOLATIONS,OTHER,"09A 13A 90D OR 90Z
(DEPENDS ON
CIRCUMSTANCES)"
B,ALL OTHER OFFENSES,TRESPASS OF PERSONAL PROPERTY,OTHER,90Z
B,ALL OTHER OFFENSES,VIOLATION OF QUARANTINE,OTHER,90Z
B,ALL OTHER OFFENSES,WIRETAPPING ILLEGAL,OTHER,90Z
B,ALL OTHER OFFENSES,ABORTION,OTHER,90Z
B,ALL OTHER OFFENSES,CORRUPT CONDUCT BY JUROR,OTHER,DEPENDS ON CIRCUMSTANCES
A OR B,ALL OTHER OFFENSES,ENTICEMENT,OTHER,100 64A 64B 90Z OR OTHER (GROUP B) OFFENSE (DEPENDS ON CIRCUMSTANCES)
A OR B,ALL OTHER OFFENSES,ESCAPE (FLIGHT),OTHER,90Z 49B 49C
A,ALL OTHER OFFENSES,ESPIONAGE,OTHER,103
B,ALL OTHER OFFENSES,FAILURE TO APPEAR*,OTHER,90Z OR 90K
A OR B,ALL OTHER OFFENSES,FALSE CITIZENSHIP*,OTHER,90Z OR 30B
A OR B,ALL OTHER OFFENSES,HARBORING,OTHER,90Z OR 49A
B,ALL OTHER OFFENSES,HEALTH AND SAFETY LAWS (ADULTERATED FOOD DRUGS OR COSMETICS),OTHER,90Z
B,ALL OTHER OFFENSES,JURY TAMPERING,OTHER,90Z
B,ALL OTHER OFFENSES,PERJURY SUBORNATION OF,OTHER,90Z
B,ALL OTHER OFFENSES,PERJURY SUBORNATION OF PERJURY,OTHER,90Z OR 90M
B,ALL OTHER OFFENSES,ROUT,OTHER,90Z
B,ALL OTHER OFFENSES,SABOTAGE,OTHER,90Z
B,ALL OTHER OFFENSES,SMUGGLING CONTRABAND,OTHER,90Z
A OR B,ALL OTHER OFFENSES,TAX LAW VIOLATIONS,OTHER,61A 61B OR 90Z
A,ANIMAL CRUELTY,BESTIALITY,SOCIETY,720
A,ANIMAL CRUELTY,CRUELTY TO ANIMALs,SOCIETY,720
A,ARSON,ARSON,PROPERTY,200
A,ARSON,INCENDIARY DEVICE OFFENSES,PROPERTY,DEPENDS ON CIRCUMSTANCES
A OR B,ASSAULT OFFENSES,AFFRAY,OTHER,13A 13B 13C OR 90C
A,ASSAULT OFFENSES,ASSAULT AGGRAVATED,PERSON,13A
A,ASSAULT OFFENSES,ASSAULT AND BATTERY BATTERY,PERSON,13A OR 13B
A,ASSAULT OFFENSES,ASSAULT MINOR,PERSON,13B
A,ASSAULT OFFENSES,ASSAULT MINOR ASSAULT,PERSON,13A 13B OR 13C
A,ASSAULT OFFENSES,ASSAULT SIMPLE,PERSON,13B
A,ASSAULT OFFENSES,BOMB THREAT,PERSON,13C
A OR B,ASSAULT OFFENSES,CRUELTY TO CHILDREN NONVIOLENT,PERSON,13C 90F OR 90Z
A,ASSAULT OFFENSES,CRUELTY TO CHILDREN VIOLENT,PERSON,13A 13B OR 13C
A OR B,ASSAULT OFFENSES,HIT AND RUN (OF A PERSON),,13A 09A OR 90Z
A,ASSAULT OFFENSES,INTIMIDATION,PERSON,13C
A,ASSAULT OFFENSES,STALKING,PERSON,13C
A,ASSAULT OFFENSES,TELEPHONE CALL THREATENING,PERSON,13C
A,ASSAULT OFFENSES,THREATENING BEHAVIOR,PERSON,13C
A,ASSAULT OFFENSES,THREATENING CONDUCT,PERSON,13C
A,ASSAULT OFFENSES,THREATENING GESTURE,PERSON,13C
A,ASSAULT OFFENSES,THREATENING TELEPHONE CALL,PERSON,13C
A,ASSAULT OFFENSES,"THREATENING WORDS OR
STATEMENT",PERSON,13C
A,ASSAULT OFFENSES,THREATS,PERSON,13C
A,BRIBERY,BRIBERY,PROPERTY,510
A,BRIBERY,INFLUENCE PEDDLING,PROPERTY,510
A,BRIBERY,KICKBACK,PROPERTY,510
A,BURGLARY/BREAKING AND ENTERING,BREAKING AND ENTERING (B&E),PROPERTY,220
A,BURGLARY/BREAKING AND ENTERING,BURGLARY,PROPERTY,220
A OR B,BURGLARY/BREAKING AND ENTERING,ENTRY FORCIBLE,PROPERTY,220 OR 90J
