SOURCE,CCCCRIMELABEL,CCCDESCRIP,CCC_LABELDES,NIBRSKEYWORDMATCH,NIBRSOFFENSE,NIBRSAORB,NIBRSCLASSIFICATION,MATCH CORRECTED,MATCHKEYWORD
CCC,ABUSE OF 911,unlawfull conduct during a 911 call,ABUSE OF 911 unlawfull conduct during a 911 call,911,"FALSE REPORT, FALL REPORT TO 911, 911 ABUSE",B,SOCIETY,1,1
CCC,ABAND OF PREG,abandonment of pregnant wife,ABAND OF PREG abandonment of pregnant wife,ABAND,FAMILY OFFENSE,B,OTHER,0,1
CCC,ABANDONT 3D OFF,abandonment of dep child-interstate or 3d sub offs,ABANDONT 3D OFF abandonment of dep child-interstate or 3d sub offs,ABAND,FAMILY OFFENSE,B,OTHER,1,1
CCC,RECKLESS ABANDO,reckless abandonment of child resulting in death,RECKLESS ABANDO reckless abandonment of child resulting in death,ABAND,FAMILY OFFENSE,B,OTHER,0,1
CCC,ADULT ENTERTAIN,"adult entertainment', 'adult entertainment - enactment","ADULT ENTERTAIN adult entertainment', 'adult entertainment - enactment",ADULT,OBSCENITY,A,OTHER,1,1
CCC,ADULTERATE FOOD,adulteration or misbranding of food,ADULTERATE FOOD adulteration or misbranding of food,ADULTERATED,ADULTERATED FOOD DRUGS OR COSMETICS,A OR B,OTHER,1,1
CCC,ADULTERY,adultery,ADULTERY adultery,ADULTERY,ADULTERY,B,OTHER,1,1
CCC,AFFRAY,affray,AFFRAY affray,AFFRAY,ASSAULT OFFENSES,A,PERSON,1,1
CCC,AG/AS DEAD WEAP,aggravated assault with a deadly weapon,AG/AS DEAD WEAP aggravated assault with a deadly weapon,AGG,AGGRAVATED CRIMES,A,PERSON,1,1
CCC,AGG BATTERY OFC,aggravated battery upon a public safety officer,AGG BATTERY OFC aggravated battery upon a public safety officer,AGG,AGGRAVATED CRIMES,A,PERSON,1,1
CCC,AGG SEX BATTERY,aggravated sexual battery,AGG SEX BATTERY aggravated sexual battery,AGG,AGGRAVATED CRIMES,A,PERSON,1,1
CCC,AGG SODOMY,aggravated sodomy,AGG SODOMY aggravated sodomy,AGG,AGGRAVATED CRIMES,A,PERSON,1,1
CCC,BOARD PRISONER,boarding prisoner,BOARD PRISONER boarding prisoner,AID ABET,AIDING AND ABETTING,A OR B,OTHER,1,1
CCC,AIRCRAFT HIJACK,aircraft hijacking,AIRCRAFT HIJACK aircraft hijacking,AIRCRAFT,RECKLESS OPERATION OF AIRCRAFT,B,OTHER,0,1
CCC,ALC BEV-PENALTY,alcoholic beverages - procedures and penalties,ALC BEV-PENALTY alcoholic beverages - procedures and penalties,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,ALC SALES PROHB,certain alcohol sales prohibited,ALC SALES PROHB certain alcohol sales prohibited,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,ALCOH/PURCHASE,attempt to purchase/purchase alcoholic beverage - minor,ALCOH/PURCHASE attempt to purchase/purchase alcoholic beverage - minor,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,ALCOHL TO DRUNK,Sale of alcohol to intoxicated person,ALCOHL TO DRUNK Sale of alcohol to intoxicated person,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,ALCOHOL DUE DTE,due date for alcohol taxes,ALCOHOL DUE DTE due date for alcohol taxes,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,ALCOHOL LICENSE,alcohol license required,ALCOHOL LICENSE alcohol license required,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,ALCOHOL PROHIB,"massage establishment, alcoholic beverages prohibited","ALCOHOL PROHIB massage establishment, alcoholic beverages prohibited",ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,ALCOHOL PUBLIC,Alcohol in Public,ALCOHOL PUBLIC Alcohol in Public,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,ALCOHOLIC BEV,manufacture/transport/receive/alcoholic beverages,ALCOHOLIC BEV manufacture/transport/receive/alcoholic beverages,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,ALCOHOL-MINOR F,alcohol-minor furnish/possess/purchase,ALCOHOL-MINOR F alcohol-minor furnish/possess/purchase,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,ATT PUR ALC/U21,attempting to purchase alcohol/under 21,ATT PUR ALC/U21 attempting to purchase alcohol/under 21,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,EMPLOYEES LISTS,employees lists /alcohol establishment,EMPLOYEES LISTS employees lists /alcohol establishment,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,POS/ALCOH/MINOR,possession of alcohol by minor,POS/ALCOH/MINOR possession of alcohol by minor,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,POSS ALC COUNTY,possession of alcohol on county property,POSS ALC COUNTY possession of alcohol on county property,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,POSS ALCO SCHOO,possession alcoholic beverages on school grounds,POSS ALCO SCHOO possession alcoholic beverages on school grounds,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,POSS BY MINOR,possession of alcohol by minor,POSS BY MINOR possession of alcohol by minor,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,POSS. BY INMATE,"possession of drugs, weapons or alcohol by inmate","POSS. BY INMATE possession of drugs, weapons or alcohol by inmate",ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,PRCH OR POSS LI,Purchase or possession of liquor by minor,PRCH OR POSS LI Purchase or possession of liquor by minor,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,PUR ALCOHOL/U21,purchasing alcohol under 21,PUR ALCOHOL/U21 purchasing alcohol under 21,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,SALE OF ALCOHOL,"sale of alcohol without license', 'sale of alcohol without a license","SALE OF ALCOHOL sale of alcohol without license', 'sale of alcohol without a license",ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,SALE OF BEER W/,sale of beer without license,SALE OF BEER W/ sale of beer without license,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,SALE OF UNTAXED,sale of untaxed alcohol,SALE OF UNTAXED sale of untaxed alcohol,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,SELLING BEER ON,Selling beer on Sunday/Election Day/Christmas,SELLING BEER ON Selling beer on Sunday/Election Day/Christmas,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,SERVER PERMIT,Alcohol Server Permit,SERVER PERMIT Alcohol Server Permit,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,TOBACCO/MINORS,"possession of tobacco related objects by minors', 'sale of tobacco products to minors","TOBACCO/MINORS possession of tobacco related objects by minors', 'sale of tobacco products to minors",ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,UNLAWFUL DISTIL,unlawful distillation,UNLAWFUL DISTIL unlawful distillation,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,FAIL TO APPEAR,failure to appear,FAIL TO APPEAR failure to appear,APPEAR,FAILURE TO APPEAR,B,OTHER,0,1
CCC,ARMED ROBBERY,armed robbery,ARMED ROBBERY armed robbery,ARM,ROBBERY,A,PROPERTY,1,1
CCC,ARSON 2ND DEG,arson 2nd degree,ARSON 2ND DEG arson 2nd degree,ARSON,ARSON,A,PROPERTY,0,1
CCC,ARSON 3RD DEG,arson 3rd degree,ARSON 3RD DEG arson 3rd degree,ARSON,ARSON,A,PROPERTY,0,1
CCC,BURNING VIO,burning restriction violation,BURNING VIO burning restriction violation,ARSON,ARSON,A,PROPERTY,1,1
